Sum of num_iters,Column Labels,,
Row Labels,FALSE,TRUE,Grand Total
3,99,99,198
4,99,26,125
5,99,28,127
5,190,140,330
2,19,29,48
3,35,35,70
4,37,40,77
5,99,36,135
19,1392,1106,2498
2,334,334,668
2,37,37,74
3,99,99,198
4,99,99,198
5,99,99,198
3,340,351,691
2,63,75,138
3,99,99,198
4,99,99,198
5,79,78,157
4,396,258,654
2,99,20,119
3,99,99,198
4,99,40,139
5,99,99,198
5,322,163,485
2,25,24,49
3,99,20,119
4,99,93,192
5,99,26,125
20,1168,734,1902
2,259,135,394
2,21,21,42
3,40,40,80
4,99,27,126
5,99,47,146
3,264,264,528
2,30,30,60
3,36,36,72
4,99,99,198
5,99,99,198
4,315,163,478
2,18,18,36
3,99,99,198
4,99,22,121
5,99,24,123
5,330,172,502
2,99,17,116
3,33,33,66
4,99,34,133
5,99,88,187
21,810,438,1248
2,165,89,254
2,20,20,40
3,23,23,46
4,23,23,46
5,99,23,122
3,241,118,359
2,20,19,39
3,23,22,45
4,99,32,131
5,99,45,144
4,233,138,371
2,12,12,24
3,99,21,120
4,99,84,183
5,23,21,44
5,171,93,264
2,24,21,45
3,99,24,123
4,22,22,44
5,26,26,52
22,974,468,1442
2,253,87,340
2,13,13,26
3,99,15,114
4,42,18,60
5,99,41,140
3,167,151,318
2,15,15,30
3,15,13,28
4,99,99,198
5,38,24,62
4,237,110,347
2,13,13,26
3,26,26,52
4,99,37,136
5,99,34,133
5,317,120,437
2,20,20,40
3,99,34,133
4,99,35,134
5,99,31,130
23,1233,1020,2253
2,326,203,529
2,29,29,58
3,99,33,132
4,99,42,141
5,99,99,198
3,314,236,550
2,99,21,120
3,17,17,34
4,99,99,198
5,99,99,198
4,301,313,614
2,18,18,36
3,85,97,182
4,99,99,198
5,99,99,198
5,292,268,560
2,33,34,67
3,61,36,97
4,99,99,198
5,99,99,198
24,1258,798,2056
2,362,220,582
2,65,35,100
3,99,44,143
4,99,99,198
5,99,42,141
3,267,208,475
2,43,43,86
3,99,99,198
4,26,26,52
5,99,40,139
4,314,132,446
2,99,49,148
3,17,17,34
4,99,36,135
5,99,30,129
5,315,238,553
2,18,18,36
3,99,99,198
4,99,99,198
5,99,22,121
Grand Total,26172,19220,45392
